state,mean_afd,sd_afd
Baden-Württemberg,10.56173515767938,2.728398291776661
Bayern,9.010937296158792,2.3735778137835144
Berlin,10.304679414948081,4.2323746038082
Brandenburg,23.514380951633783,6.0670148888520785
Bremen,7.291363636363636,3.3143674185704555
Hamburg,7.010718274067936,2.268888276322558
Hessen,11.231057614861786,2.399791551897402
Mecklenburg-Vorpommern,19.916165317696215,4.975498605037165
Niedersachsen,7.945477312865881,2.4857449755003485
Nordrhein-Westfalen,8.203464685247797,2.1319254835233834
Rheinland-Pfalz,9.495993479799948,3.409206988060812
Saarland,9.667322639027995,1.65572088827204
Sachsen,29.90773863623237,5.545841382189593
Sachsen-Anhalt,21.77838042979298,3.88870635905367
Schleswig-Holstein,7.325364967986907,2.859338256743969
Thüringen,25.613154061667636,6.357849415846308
